Title,Date,Source,Sentiment,Sentiment Score,Organization Names
North Sea green hydrogen project to harness offshore wind and use existing pipeline,2022-02-16T09:51:33+0000,CNBC,POSITIVE,0.9784994125366211,[]
"Hydrogen power is gaining momentum, but critics say it's neither efficient nor green enough",2022-01-14T18:41:12+0000,CNBC,NEGATIVE,0.9990012049674988,[]
Want to cash in on 'clean' hydrogen? HSBC shares its stock picks — giving one over 110% upside,2023-04-24T20:34:09+0000,CNBC,NEGATIVE,0.9967005848884583,['HSBC']
"After selling two software start-ups for over $1 billion, founder turns his focus to green hydrogen",2022-01-25T14:09:57+0000,CNBC,NEGATIVE,0.9798716902732849,[]
Britain launches plan to ramp up 'low carbon' hydrogen capacity,2021-08-17T20:56:37+0000,CNBC,NEGATIVE,0.9853304624557495,[]
"Inside the fierce debate over clean hydrogen, with $100 billion in federal subsidies on the line",2023-08-22T13:58:38+0000,CNBC,POSITIVE,0.7139456868171692,[]
How green hydrogen will help power future ceramics production in Italy,2021-12-21T07:47:28+0000,CNBC,POSITIVE,0.999173104763031,[]
Investment bank picks 7 'green hydrogen' and 'blue hydrogen' winning stocks,2021-08-25T19:54:51+0000,CNBC,POSITIVE,0.9857757687568665,['Investment']
"Hydrogen, fully electric, or both? Heavy-duty trucking has some big decisions to make",2023-04-17T03:39:31+0000,CNBC,NEGATIVE,0.9594191312789917,[]
"Norway's Statkraft lined up to provide green hydrogen for 88-meter long, zero-emission ship",2021-06-24T06:49:51+0000,CNBC,NEGATIVE,0.7983543872833252,['Statkraft']
Goldman predicts clean hydrogen will be a $1 trillion market. Here's how to play it.,2023-02-01T14:00:28+0000,CNBC,NEGATIVE,0.987255334854126,['Goldman']
Green hydrogen needs innovation and tech advances before it can replace fossil fuels: Climate expert,2021-08-10T03:53:32+0000,CNBC,NEGATIVE,0.8447389006614685,['Climate']
Morgan Stanley slashes through the hype and picks 2 'green hydrogen' stocks,2021-03-09T09:29:10+0000,CNBC,NEGATIVE,0.9981880784034729,[]
Want in on green hydrogen? This bank names six stocks to buy right now,2021-06-20T20:01:57+0000,CNBC,NEGATIVE,0.9987680315971375,[]
"Deal with TotalEnergies will help make green hydrogen cheaper than fossil fuels, TES CEO says",2023-06-01T06:46:47+0000,CNBC,NEGATIVE,0.8652279376983643,"['TotalEnergies', 'TES']"
Orsted to link a huge offshore wind farm to 'renewable' hydrogen production,2021-04-16T13:31:04+0000,CNBC,NEGATIVE,0.7688776850700378,['Orsted']
Dubai launches region’s 'first industrial scale’ green hydrogen plant,2021-05-20T09:22:46+0000,CNBC,POSITIVE,0.9989232420921326,[]
"Goldman names 2 global stocks to play the 'clean hydrogen revolution,' giving one 50% upside",2023-02-19T19:15:12+0000,CNBC,NEGATIVE,0.966650128364563,['Goldman']
"Green Energy in the red, hot for hydrogen and free meal motivation",2021-05-28T15:01:01+0000,CNBC,POSITIVE,0.8198897838592529,['Green Energy']
Not a 'panacea': UK lawmakers play down hydrogen's role in net-zero shift,2022-12-21T12:03:25+0000,CNBC,NEGATIVE,0.9962259531021118,[]
"Green hydrogen is gaining traction, but still has massive hurdles to overcome",2020-12-04T12:06:38+0000,CNBC,NEGATIVE,0.9366433620452881,[]
Siemens Energy and partners develop UAE's first green hydrogen plant,2021-05-20T05:15:18+0000,CNBC,POSITIVE,0.9977428913116455,['Siemens Energy']
A 'world first' project to heat homes using renewable hydrogen gets the green light,2020-12-21T04:55:07+0000,CNBC,POSITIVE,0.9986847043037415,[]
"Hydrogen is at a 'tipping point' with $11 trillion market set to explode, says Bank of America",2020-09-27T11:53:06+0000,CNBC,NEGATIVE,0.9673512578010559,['Bank of America']
"'Indiscriminate use of hydrogen' could slow the energy transition, report says",2022-11-18T03:26:41+0000,CNBC,NEGATIVE,0.998195469379425,[]
Rolls-Royce uses hydrogen produced with wind and tidal power to test jet engine,2022-12-02T02:25:04+0000,CNBC,POSITIVE,0.9768952131271362,['Rolls - Royce']
Hydrogen-powered trains get the green light as Siemens Energy and Mobility sign joint agreement,2020-10-06T12:09:29+0000,CNBC,POSITIVE,0.7140870690345764,"['Siemens Energy', 'Mobility']"
Cement giants turn to green hydrogen and carbon capture in efforts to curb emissions,2021-02-19T09:56:02+0000,CNBC,NEGATIVE,0.8760260939598083,[]
"Buy this 'one stop hydrogen shop' with more than 80% upside potential, UBS says",2022-12-14T06:26:10+0000,CNBC,NEGATIVE,0.9916284084320068,['UBS']
"Green hydrogen could help us cut our carbon footprint, if it overcomes some big hurdles",2021-10-27T17:35:04+0000,CNBC,NEGATIVE,0.9953622221946716,[]
Green hydrogen project combining tidal power and battery tech aims for continuous production,2020-11-10T03:40:48+0000,CNBC,POSITIVE,0.99444580078125,[]
"Green transition won't be perfect and we'll need natural gas, World Energy Council CEO says",2023-04-03T01:47:34+0000,CNBC,NEGATIVE,0.996329128742218,['World Energy Council']
"UK trial will inject hydrogen into a gas-fired, grid-connected power station",2022-10-26T02:46:55+0000,CNBC,NEGATIVE,0.9602354168891907,[]
Spain's Repsol plans to invest millions in fuel production using green hydrogen,2020-06-15T15:58:58+0000,CNBC,NEGATIVE,0.7800488471984863,['Repsol']
Why the hydrogen tax credit has become a lightning rod for controversy,2023-10-13T12:03:39+0000,CNBC,NEGATIVE,0.9501094222068787,[]
EU approves up to $5.2 billion in public funding for hydrogen projects,2022-09-21T09:05:22+0000,CNBC,POSITIVE,0.9619148969650269,['EU']
UK-based startup Tevva launches hydrogen-electric truck with 310-mile range,2022-07-02T03:39:36+0000,CNBC,POSITIVE,0.8001750707626343,['Tevva']
Shell to build Europe's 'largest' renewable hydrogen plant to help power Dutch refinery,2022-07-07T05:17:36+0000,CNBC,POSITIVE,0.9978139400482178,['Shell']
"Renault reveals electric-hydrogen hybrid concept car, says it will have range of up to 497 miles",2022-05-23T02:10:07+0000,CNBC,POSITIVE,0.9979817867279053,['Renault']
Volvo says it has started testing trucks with fuel cells powered by hydrogen,2022-06-20T09:04:55+0000,CNBC,NEGATIVE,0.9504541754722595,['Volvo']
'The most dumb thing': Elon Musk dismisses hydrogen as tool for energy storage,2022-05-12T08:10:03+0000,CNBC,NEGATIVE,0.9997133612632751,[]
"After Toyota's Mirai, the Japanese auto giant zeroes in on hydrogen buses and heavy-duty trucks",2022-05-18T02:56:13+0000,CNBC,NEGATIVE,0.9956964254379272,['Toyota']
Atome Energy CEO discusses its green hydrogen plans in Paraguay,2022-12-05T05:11:14+0000,CNBC,POSITIVE,0.9236701726913452,['Atome Energy']
Wall Street banks name their top global stocks to play soaring energy prices and the hydrogen boom,2022-06-07T21:51:22+0000,CNBC,POSITIVE,0.9941486120223999,[]
"Hydrogen generation could become a $1 trillion per year market, Goldman Sachs says",2022-02-24T04:34:23+0000,CNBC,NEGATIVE,0.968623161315918,['Goldman Sachs']
New Airbus facility to research cryogenic fuel systems for next-gen hydrogen planes,2022-05-27T02:26:54+0000,CNBC,POSITIVE,0.9792435765266418,['Airbus']
JPMorgan says hydrogen use is set to boom and picks its top stocks to cash in,2022-01-21T05:52:28+0000,CNBC,POSITIVE,0.9786161780357361,['JPMorgan']
SocGen says $500 billion is about to pour into hydrogen — and picks the stocks to cash in,2021-11-09T18:30:01+0000,CNBC,NEGATIVE,0.9752644896507263,['SocGen']
Elon Musk has strong views on hydrogen. Not everyone agrees,2021-12-30T20:03:47+0000,CNBC,NEGATIVE,0.9620838165283203,[]
"'No way around hydrogen' says RWE CEO, as firm lays out plans to invest billions in renewables",2021-11-16T10:47:13+0000,CNBC,NEGATIVE,0.9927823543548584,['RWE']
